draw_date,num1,num2,num3,num4,num5,num6,game_cd,RESULT
2017-05-07 00:00:00.0,31,52,44,57,21,45,5,315244572145
2017-05-09 00:00:00.0,18,15,58,30,7,5,5,181558300705
2017-05-12 00:00:00.0,2,16,11,49,18,3,5,021611491803
2017-05-14 00:00:00.0,56,13,58,17,20,8,5,561358172008
2017-05-16 00:00:00.0,8,26,48,41,47,39,5,082648414739
2017-05-19 00:00:00.0,30,11,50,54,28,15,5,301150542815
2017-05-21 00:00:00.0,5,8,45,9,46,36,5,050845094636
2017-05-23 00:00:00.0,22,33,21,57,14,41,5,223321571441
2017-05-26 00:00:00.0,58,47,43,22,44,12,5,584743224412
2017-05-28 00:00:00.0,36,17,39,35,40,11,5,361739354011
2017-05-30 00:00:00.0,3,21,54,15,20,12,5,032154152012
2017-06-02 00:00:00.0,47,32,53,2,45,11,5,473253024511
2017-06-04 00:00:00.0,29,28,10,36,33,3,5,292810363303
2017-06-06 00:00:00.0,9,4,8,23,29,16,5,090408232916
2017-06-09 00:00:00.0,16,6,23,36,20,56,5,160623362056
2017-06-11 00:00:00.0,23,3,14,56,58,4,5,230314565804
2017-06-13 00:00:00.0,8,52,20,19,48,36,5,085220194836
2017-06-16 00:00:00.0,31,50,6,12,16,40,5,315006121640
2017-06-18 00:00:00.0,39,34,28,45,20,50,5,393428452050
2017-06-20 00:00:00.0,22,24,23,54,46,43,5,222423544643
2017-06-23 00:00:00.0,36,32,25,51,43,31,5,363225514331
2017-06-25 00:00:00.0,51,28,36,1,40,56,5,512836014056
2017-06-27 00:00:00.0,46,57,38,34,43,10,5,465738344310
2017-06-30 00:00:00.0,3,42,38,33,30,47,5,034238333047
2017-07-02 00:00:00.0,58,29,26,14,52,51,5,582926145251
2017-07-04 00:00:00.0,51,53,16,32,41,40,5,515316324140
2017-07-07 00:00:00.0,15,38,22,52,56,2,5,153822525602
2017-07-09 00:00:00.0,45,21,16,20,38,29,5,452116203829
2017-07-11 00:00:00.0,52,29,28,5,33,41,5,522928053341
2017-07-14 00:00:00.0,14,36,8,34,50,53,5,143608345053
2017-07-16 00:00:00.0,54,51,43,38,9,56,5,545143380956
2017-07-18 00:00:00.0,45,46,25,39,1,42,5,454625390142
2017-07-21 00:00:00.0,7,14,36,8,42,27,5,071436084227
2017-07-23 00:00:00.0,52,8,27,14,19,53,5,520827141953
2017-07-25 00:00:00.0,4,56,35,38,57,49,5,045635385749
2017-07-28 00:00:00.0,44,29,15,50,39,54,5,442915503954
2017-07-30 00:00:00.0,20,55,47,52,12,57,5,205547521257
2017-08-01 00:00:00.0,53,14,23,2,58,20,5,531423025820
2017-08-04 00:00:00.0,36,50,26,58,25,16,5,365026582516
2017-08-06 00:00:00.0,54,8,45,7,23,19,5,540845072319
2017-08-08 00:00:00.0,7,19,14,24,8,18,5,071914240818
2017-08-11 00:00:00.0,16,31,44,2,51,13,5,163144025113
2017-08-13 00:00:00.0,3,47,30,35,16,8,5,034730351608
2017-08-15 00:00:00.0,7,54,14,10,4,49,5,075414100449
2017-08-18 00:00:00.0,48,44,50,56,8,7,5,484450560807
2017-08-20 00:00:00.0,21,5,55,51,30,34,5,210555513034
2017-08-22 00:00:00.0,50,16,22,14,9,47,5,501622140947
2017-08-25 00:00:00.0,35,6,1,41,40,42,5,350601414042
2017-08-27 00:00:00.0,40,8,49,11,2,29,5,400849110229
2017-08-29 00:00:00.0,19,6,26,43,33,40,5,190626433340
2017-09-01 00:00:00.0,32,6,35,50,30,14,5,320635503014
2017-09-03 00:00:00.0,30,16,4,17,41,1,5,301604174101
2017-09-05 00:00:00.0,3,27,17,12,20,6,5,032717122006
2017-09-08 00:00:00.0,31,3,52,34,22,15,5,310352342215
2017-09-10 00:00:00.0,34,37,39,26,23,10,5,343739262310
2017-09-12 00:00:00.0,52,17,58,9,19,10,5,521758091910
2017-09-15 00:00:00.0,2,27,24,4,50,46,5,022724045046
2017-09-17 00:00:00.0,10,17,3,35,50,44,5,101703355044
2017-09-19 00:00:00.0,57,6,47,36,52,56,5,570647365256
2017-09-22 00:00:00.0,23,33,2,47,40,6,5,233302474006
2017-09-24 00:00:00.0,17,54,29,13,8,10,5,175429130810
2017-09-26 00:00:00.0,1,15,26,55,21,11,5,011526552111
2017-09-29 00:00:00.0,54,13,6,23,1,15,5,541306230115
2017-10-01 00:00:00.0,40,57,2,41,47,27,5,405702414727
2017-10-03 00:00:00.0,36,37,17,54,22,25,5,363717542225
2017-10-06 00:00:00.0,42,32,27,10,15,3,5,423227101503
2017-10-08 00:00:00.0,7,37,24,8,32,22,5,073724083222
2017-10-10 00:00:00.0,56,11,14,46,58,47,5,561114465847
2017-10-13 00:00:00.0,54,37,53,29,41,50,5,543753294150
2017-10-15 00:00:00.0,14,2,4,57,5,17,5,140204570517
2017-10-17 00:00:00.0,7,41,34,12,10,36,5,074134121036
2017-10-20 00:00:00.0,26,43,24,35,14,57,5,264324351457
2017-10-22 00:00:00.0,11,10,3,29,2,25,5,111003290225
2017-10-24 00:00:00.0,8,34,2,38,30,57,5,083402383057
2017-10-27 00:00:00.0,23,46,54,29,24,7,5,234654292407
2017-10-29 00:00:00.0,4,21,12,47,9,42,5,042112470942
2017-10-31 00:00:00.0,19,54,28,6,32,26,5,195428063226
